NPV_a,NPV_b,PreyDeficit,PredatorDeficit
0.8,62.0,56.39999999999999,16.6
0.0,56.599999999999994,60.4,29.599999999999998
70.0,100.0,40.6,3.0
24.0,100.0,52.6,8.0
14.799999999999999,0.0,52.0,28.999999999999996
20.8,12.4,49.0,19.2
27.800000000000004,0.0,50.4,32.0
0.0,100.0,63.2,11.799999999999999
0.0,49.0,64.2,46.800000000000004
37.8,0.0,47.199999999999996,26.200000000000003
73.0,10.2,32.0,8.799999999999999
0.0,52.400000000000006,62.2,40.2
91.60000000000001,82.39999999999999,25.6,1.4000000000000001
0.0,0.0,59.4,50.2
0.4,100.0,58.8,9.8
71.6,22.8,41.6,7.3999999999999995
48.199999999999996,0.0,47.0,13.8
69.19999999999999,89.60000000000001,38.4,5.0
67.60000000000001,100.0,43.6,5.2
76.4,12.4,31.2,4.2
85.6,100.0,11.0,3.0
6.2,0.0,54.2,41.199999999999996
0.0,100.0,62.2,16.6
0.0,100.0,60.199999999999996,14.2
0.0,8.799999999999999,56.99999999999999,34.0
7.000000000000001,0.0,55.2,41.8
0.8,57.8,58.199999999999996,18.8
23.799999999999997,0.0,50.6,32.4
7.6,0.0,52.2,37.8
69.19999999999999,30.0,39.2,6.0
90.2,100.0,15.0,0.2
17.8,0.0,51.6,36.6
0.0,0.0,62.4,53.800000000000004
0.0,0.0,59.4,48.8
69.6,100.0,37.8,4.8
90.8,100.0,6.4,0.0
26.8,0.0,50.0,30.8
13.8,0.0,51.800000000000004,36.6
0.8,0.0,56.00000000000001,38.6
12.8,0.0,52.6,38.2
82.0,100.0,23.599999999999998,3.8
0.0,0.0,59.8,48.199999999999996
95.19999999999999,100.0,16.8,0.2
1.0,0.0,55.60000000000001,36.6
8.799999999999999,93.4,52.6,11.600000000000001
16.2,0.0,51.4,36.0
24.8,0.0,50.2,31.6
82.19999999999999,100.0,22.2,6.0
0.0,59.0,61.0,25.0
62.0,0.0,37.8,11.4
54.2,100.0,47.4,6.6000000000000005
38.4,0.0,50.6,27.400000000000002
22.6,0.0,50.8,33.800000000000004
0.0,71.0,63.0,22.6
0.6,0.0,57.99999999999999,30.599999999999998
58.199999999999996,0.0,44.800000000000004,11.200000000000001
0.0,0.0,56.599999999999994,40.0
0.2,0.0,56.599999999999994,38.800000000000004
0.0,4.6,61.199999999999996,51.0
17.8,3.8,51.2,24.2
78.0,25.4,39.2,5.0
0.0,0.0,60.0,53.800000000000004
0.0,0.0,58.199999999999996,46.2
0.0,0.0,56.8,43.4
30.4,0.6,50.0,20.8
0.0,0.0,60.6,51.4
0.0,0.8,62.6,53.2
0.8,71.39999999999999,58.4,15.0
63.6,100.0,41.6,2.8000000000000003
61.8,0.0,42.8,9.4
0.8,0.0,56.2,43.0
8.0,0.0,53.6,40.8
33.4,0.0,50.2,25.2
15.2,20.8,50.2,16.400000000000002
12.2,0.0,51.800000000000004,32.2
1.4000000000000001,0.0,55.400000000000006,36.8
66.60000000000001,100.0,40.400000000000006,4.0
0.0,26.400000000000002,59.199999999999996,37.2
1.6,100.0,56.8,9.0
54.0,68.4,42.199999999999996,9.0
0.0,0.0,56.8,38.800000000000004
0.0,10.4,59.8,45.2
1.0,9.6,55.00000000000001,30.0
0.0,0.0,58.199999999999996,47.0
0.0,0.0,62.6,54.2
64.8,56.39999999999999,42.4,6.4
0.0,100.0,60.8,14.399999999999999
0.0,0.0,60.4,53.2
0.0,0.0,62.0,55.800000000000004
13.200000000000001,0.0,52.2,38.800000000000004
0.8,0.0,56.2,44.4
40.8,0.0,47.599999999999994,21.0
35.6,0.0,47.199999999999996,21.6
59.0,0.2,44.6,10.4
71.6,18.4,36.199999999999996,6.0
59.0,0.0,44.2,13.0
80.60000000000001,100.0,24.8,1.4000000000000001
4.0,0.0,53.400000000000006,31.8
0.8,0.0,56.00000000000001,42.199999999999996
14.2,0.0,51.6,35.199999999999996
0.0,25.8,62.0,49.2
0.0,98.2,63.6,18.2
56.599999999999994,100.0,45.800000000000004,3.2
38.0,25.8,45.6,9.6
39.800000000000004,0.0,49.0,22.400000000000002
0.0,0.0,59.199999999999996,50.2
55.800000000000004,29.2,45.6,10.4
0.0,0.0,58.8,42.4
0.0,0.0,57.599999999999994,46.2
8.0,0.0,54.400000000000006,37.4
20.200000000000003,100.0,53.2,4.2
0.0,0.0,58.599999999999994,46.800000000000004
19.6,0.0,51.2,36.199999999999996
32.800000000000004,0.0,49.4,22.8
0.0,0.0,59.8,51.2
0.0,0.0,57.599999999999994,40.400000000000006
10.8,100.0,54.2,8.4
0.0,50.2,60.0,36.0
5.2,100.0,55.800000000000004,9.8
46.0,0.0,46.6,20.0
0.0,32.0,59.599999999999994,39.800000000000004
95.8,100.0,12.0,0.0
6.6000000000000005,100.0,56.00000000000001,8.799999999999999
8.200000000000001,100.0,53.2,11.0
16.6,64.8,51.4,11.600000000000001
47.8,0.0,46.2,16.6
56.599999999999994,58.8,45.800000000000004,8.6
63.800000000000004,0.4,41.8,8.4
18.0,0.0,51.2,37.2
0.0,40.0,59.8,39.4
77.4,100.0,35.4,3.0
25.2,0.0,50.6,32.2
13.0,0.0,52.2,38.2
0.8,100.0,57.199999999999996,9.8
80.60000000000001,100.0,0.0,1.6
48.4,67.2,44.800000000000004,10.2
31.6,0.0,50.2,26.400000000000002
22.8,0.0,51.4,34.8
1.4000000000000001,51.4,54.800000000000004,20.200000000000003
8.0,0.0,53.800000000000004,39.800000000000004
0.0,100.0,66.8,9.4
54.400000000000006,0.6,42.6,11.799999999999999
11.0,0.0,52.400000000000006,38.2
89.0,100.0,12.0,0.4
19.400000000000002,0.0,51.4,35.199999999999996
1.7999999999999998,0.0,56.00000000000001,40.8
16.400000000000002,0.0,51.800000000000004,38.2
8.200000000000001,0.0,54.400000000000006,39.4
0.0,0.2,58.8,42.4
38.6,0.0,47.599999999999994,22.6
43.6,0.0,47.0,16.6
0.0,11.200000000000001,60.6,49.4
0.0,0.0,59.199999999999996,43.4
2.0,44.4,54.0,24.0
0.0,100.0,62.8,15.6
11.4,0.0,52.6,38.0
0.0,0.0,61.199999999999996,52.6
88.2,100.0,3.2,0.0
77.8,100.0,41.199999999999996,0.6
21.4,0.0,51.2,33.4
0.0,0.0,60.199999999999996,54.400000000000006
1.2,0.0,55.800000000000004,38.6
70.8,100.0,36.0,3.4000000000000004
29.4,100.0,51.6,9.4
0.0,57.99999999999999,59.8,21.4
1.0,0.0,55.800000000000004,40.6
0.0,21.8,63.2,51.2
0.0,0.0,59.0,49.4
0.0,0.0,56.99999999999999,45.4
0.0,0.0,56.99999999999999,43.2
0.0,26.0,60.0,45.4
0.0,0.0,59.8,51.4
