NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
77.4,100.0,9.4,2.4,8.200000000000001,2.4,77.4,0.0
80.2,100.0,39.0,2.4,35.6,2.4,80.2,0.0
0.0,100.0,65.60000000000001,9.2,0.0,9.2,0.0,0.0
64.60000000000001,27.400000000000002,41.199999999999996,7.199999999999999,32.4,5.2,12.8,0.0
32.2,0.0,49.6,26.0,24.6,0.0,0.0,0.0
63.0,47.0,42.8,7.199999999999999,32.800000000000004,7.199999999999999,23.200000000000003,0.0
0.0,100.0,66.2,12.6,0.0,12.6,0.0,0.0
0.0,5.0,59.8,44.0,0.0,5.0,0.0,0.0
0.2,0.0,56.99999999999999,44.4,0.2,0.0,0.0,0.0
38.6,100.0,49.8,7.3999999999999995,20.0,7.3999999999999995,38.6,0.0
0.6,0.0,56.2,41.0,0.6,0.0,0.0,0.0
33.4,0.0,48.4,28.000000000000004,25.2,0.0,0.0,0.0
0.0,20.599999999999998,59.4,38.800000000000004,0.0,20.599999999999998,0.0,0.0
65.2,100.0,41.0,1.6,25.6,1.6,65.2,0.0
10.0,0.0,52.800000000000004,37.6,9.0,0.0,0.0,0.0
22.0,0.0,51.0,34.0,20.0,0.0,0.0,0.0
0.8,0.0,56.2,43.0,0.8,0.0,0.0,0.0
0.0,6.2,59.4,42.0,0.0,6.2,0.0,0.0
28.4,0.0,49.8,31.2,23.200000000000003,0.0,0.0,0.0
0.0,0.4,59.8,47.8,0.0,0.4,0.0,0.0
1.4000000000000001,0.0,55.2,34.0,1.4000000000000001,0.0,0.0,0.0
21.6,0.0,51.2,33.800000000000004,19.8,0.0,0.0,0.0
0.0,100.0,62.6,10.2,0.0,10.2,0.0,0.0
0.0,0.4,59.0,42.6,0.0,0.4,0.0,0.0
28.199999999999996,75.8,48.199999999999996,9.0,12.6,9.0,23.400000000000002,0.0
21.4,0.0,51.0,33.800000000000004,19.400000000000002,0.0,0.0,0.0
0.0,0.0,59.8,50.0,0.0,0.0,0.0,0.0
1.4000000000000001,51.6,54.6,20.4,0.4,20.4,1.4000000000000001,0.0
19.2,0.0,51.6,35.4,18.0,0.0,0.0,0.0
25.0,0.0,50.0,32.2,21.6,0.0,0.0,0.0
19.400000000000002,100.0,51.0,7.199999999999999,5.0,7.199999999999999,19.400000000000002,0.0
21.2,0.0,50.8,36.199999999999996,19.400000000000002,0.0,0.0,0.0
26.200000000000003,0.0,50.8,26.0,21.4,0.0,0.0,0.0
26.0,76.6,51.2,8.799999999999999,12.6,8.799999999999999,21.4,0.0
14.6,0.0,52.0,38.0,13.600000000000001,0.0,0.0,0.0
0.0,0.0,57.8,45.0,0.0,0.0,0.0,0.0
0.0,56.39999999999999,65.60000000000001,34.4,0.0,34.4,0.0,0.0
0.0,100.0,68.2,8.799999999999999,0.0,8.799999999999999,0.0,0.0
0.4,0.0,56.00000000000001,36.8,0.4,0.0,0.0,0.0
58.8,77.2,44.6,8.4,32.4,8.4,41.8,0.0
52.6,9.8,43.6,12.2,32.2,1.2,1.7999999999999998,0.0
9.4,22.0,51.6,24.2,7.000000000000001,14.2,1.7999999999999998,0.0
1.4000000000000001,0.0,55.00000000000001,36.199999999999996,1.4000000000000001,0.0,0.0,0.0
0.0,100.0,59.0,9.2,0.0,9.2,0.0,0.0
59.0,23.0,45.800000000000004,9.8,29.599999999999998,2.6,11.4,0.0
59.4,4.0,40.8,11.600000000000001,32.6,0.0,0.2,0.0
79.2,46.0,27.400000000000002,2.0,26.8,2.0,29.599999999999998,0.0
0.0,72.6,66.4,20.200000000000003,0.0,20.200000000000003,0.0,0.0
0.0,0.0,61.0,52.6,0.0,0.0,0.0,0.0
0.0,0.0,56.99999999999999,46.400000000000006,0.0,0.0,0.0,0.0
0.8,68.8,56.39999999999999,15.2,0.2,15.2,0.8,0.0
90.2,100.0,8.799999999999999,0.0,8.799999999999999,0.0,90.2,0.0
0.0,24.4,60.199999999999996,45.2,0.0,24.0,0.0,0.0
31.4,0.0,49.2,29.799999999999997,24.4,0.0,0.0,0.0
92.80000000000001,100.0,0.0,0.0,0.0,0.0,92.80000000000001,0.0
19.6,29.2,51.6,20.200000000000003,14.399999999999999,15.0,2.6,0.0
62.4,100.0,40.6,2.4,25.0,2.4,62.4,0.0
0.0,0.0,60.6,56.00000000000001,0.0,0.0,0.0,0.0
32.6,100.0,49.2,7.6,12.2,7.6,32.6,0.0
7.8,0.0,53.6,39.4,7.3999999999999995,0.0,0.0,0.0
24.0,0.0,51.0,32.6,21.2,0.0,0.0,0.0
1.0,85.2,56.599999999999994,16.400000000000002,0.4,16.400000000000002,1.0,0.2
0.8,0.0,56.599999999999994,44.800000000000004,0.8,0.0,0.0,0.0
4.8,100.0,53.6,9.6,0.4,9.6,4.8,0.0
23.200000000000003,0.0,51.0,33.0,20.4,0.0,0.0,0.0
40.400000000000006,0.0,48.199999999999996,21.8,29.799999999999997,0.0,0.0,0.0
2.8000000000000003,0.0,55.400000000000006,41.4,2.8000000000000003,0.0,0.0,0.0
0.0,24.0,60.0,44.2,0.0,23.599999999999998,0.0,0.0
56.00000000000001,0.0,44.800000000000004,16.2,33.0,0.0,0.0,0.0
57.199999999999996,100.0,44.0,8.200000000000001,32.6,8.200000000000001,57.199999999999996,0.0
87.4,100.0,18.0,1.6,18.0,1.6,87.4,0.0
84.0,100.0,7.000000000000001,2.8000000000000003,7.000000000000001,2.8000000000000003,84.0,0.0
0.0,63.4,66.4,22.6,0.0,22.6,0.0,0.0
0.0,0.0,60.4,53.0,0.0,0.0,0.0,0.0
0.0,100.0,59.8,13.0,0.0,13.0,0.0,0.0
0.0,0.0,56.8,36.4,0.0,0.0,0.0,0.0
